"filename", "language", "C++", "JavaScript", "comment", "blank", "total"
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/SWidgets/SToolBar/stoolbar.cpp", "C++", 52, 0, 0, 11, 63
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/SWidgets/SToolBar/stoolbar.h", "C++", 26, 0, 0, 10, 36
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/SWidgets/SToolBox/stoolbox.cpp", "C++", 102, 0, 12, 21, 135
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/SWidgets/SToolBox/stoolbox.h", "C++", 37, 0, 1, 13, 51
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/Sources/scripts/XMLHttpRequest.js", "JavaScript", 0, 16, 0, 4, 20
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/Sources/scripts/block_logic.js", "JavaScript", 0, 58, 1, 5, 64
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/Sources/scripts/progress.js", "JavaScript", 0, 15, 0, 3, 18
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/Sources/scripts/script.js", "JavaScript", 0, 19, 0, 7, 26
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/main.cpp", "C++", 16, 0, 0, 7, 23
"Total", "-", 1636, 108, 129, 439, 2312
